text,label
saya sama sekali belum pernah belajar coding,beginner
baru mulai belajar dan masih nol pengalaman,beginner
pemula banget belum tau apa apa soal IT,beginner
belum pernah nulis satu baris kode pun seumur hidup,beginner
baru kenal dunia programming minggu lalu,beginner
tidak punya background teknis sama sekali,beginner
fresh graduate non IT baru mau mulai belajar,beginner
masih awam soal teknologi baru mau belajar,beginner
newbie yang belum paham konsep dasar programming,beginner
baru tahu ada yang namanya python tapi belum pernah coba,beginner
tidak punya pengalaman apapun di bidang teknologi,beginner
dari nol banget belum tau html itu apa,beginner
sudah bisa python dasar dan pernah buat beberapa script sederhana,intermediate
pernah ikut bootcamp dan sudah paham konsep dasarnya,intermediate
sudah bisa html css javascript dan pernah buat website sederhana,intermediate
sudah belajar beberapa bulan dan bisa buat program sederhana,intermediate
paham konsep OOP dan sudah pernah pakai beberapa library,intermediate
sudah bisa query sql dasar dan pernah analisis data sederhana,intermediate
pernah buat aplikasi kecil sendiri tapi belum yang kompleks,intermediate
sudah familiar dengan git dan version control,intermediate
bisa buat rest api sederhana dengan framework yang sudah dipelajari,intermediate
sudah paham algorithm dasar dan struktur data sederhana,intermediate
pernah deploy aplikasi ke server meski masih sederhana,intermediate
sudah bisa buat komponen react dan paham state management dasar,intermediate
sudah kerja sebagai software engineer lebih dari dua tahun,advanced
mahir di beberapa bahasa pemrograman dan pernah pimpin tim,advanced
sudah buat sistem production yang dipakai ribuan user,advanced
punya pengalaman dengan microservices dan arsitektur skala besar,advanced
sudah contribute ke open source dan punya beberapa proyek published,advanced
expert di bidangnya dan sedang ingin pindah ke spesialisasi lain,advanced
sudah jadi senior developer dan ingin upgrade ke level principal,advanced
berpengalaman di cloud architecture dan sudah punya beberapa sertifikasi,advanced
sudah lulus beberapa sertifikasi profesional di bidang IT,advanced
pernah jadi tech lead dan membangun tim dari awal,advanced
sudah publish paper atau artikel teknis di bidang ML atau security,advanced
punya portofolio project yang sudah digunakan di perusahaan nyata,advanced
