text,label
ingin menjadi cybersecurity specialist dan belajar ethical hacking,cybersecurity
tertarik dengan keamanan siber dan penetration testing,cybersecurity
mau belajar security dan melindungi sistem dari serangan hacker,cybersecurity
ingin jadi ethical hacker dan belajar tentang vulnerability,cybersecurity
tertarik dengan network security dan kriptografi,cybersecurity
mau terjun ke cybersecurity dan belajar tools seperti nmap wireshark,cybersecurity
ingin bisa melakukan analisis malware dan digital forensics,cybersecurity
tertarik dengan security operations center dan incident response,cybersecurity
ingin menjadi web developer dan menguasai react nodejs,web_developer
mau belajar frontend dan backend untuk jadi fullstack developer,web_developer
tertarik dengan web development dan ingin bisa membuat website,web_developer
mau jadi frontend developer dan belajar html css javascript,web_developer
ingin belajar backend dan membuat rest api dengan nodejs,web_developer
mau kuasai react dan vue untuk jadi web developer profesional,web_developer
ingin membuat aplikasi web yang bisa diakses banyak orang,web_developer
tertarik dengan typescript dan next js untuk web modern,web_developer
ingin menjadi data analyst dan menguasai python pandas,data_analyst
tertarik dengan data science dan machine learning,data_analyst
mau belajar analisis data dan visualisasi menggunakan tableau,data_analyst
ingin jadi data scientist dan belajar statistik serta ml,data_analyst
tertarik dengan big data dan analytics untuk bisnis,data_analyst
mau kuasai sql dan python untuk analisis data perusahaan,data_analyst
ingin bisa membuat dashboard dan laporan dari data bisnis,data_analyst
tertarik dengan predictive analytics dan forecasting,data_analyst
ingin menjadi mobile developer dan membuat aplikasi android,mobile_developer
tertarik dengan flutter dan react native untuk mobile app,mobile_developer
mau belajar ios development dan membuat aplikasi iphone,mobile_developer
ingin bikin aplikasi mobile yang bisa di android dan ios sekaligus,mobile_developer
tertarik dengan kotlin dan swift untuk native mobile development,mobile_developer
ingin membuat game mobile dan belajar unity untuk android,mobile_developer
ingin menjadi devops engineer dan belajar docker kubernetes,devops
tertarik dengan cloud computing dan aws untuk infrastructure,devops
mau belajar ci cd pipeline dan deployment otomatis,devops
ingin jadi cloud engineer dan menguasai terraform,devops
tertarik dengan site reliability engineering dan monitoring sistem,devops
mau belajar linux administration dan scripting untuk otomasi,devops
ingin menjadi ui ux designer dan menguasai figma,ui_ux_designer
tertarik dengan desain antarmuka dan user experience,ui_ux_designer
mau belajar design thinking dan prototyping untuk aplikasi,ui_ux_designer
ingin jadi product designer dan memahami kebutuhan pengguna,ui_ux_designer
tertarik dengan user research dan usability testing,ui_ux_designer
mau membuat desain yang indah dan mudah digunakan oleh semua orang,ui_ux_designer
